WellId,DateTimeStamp,WHP,CHP
406,2022-10-01T01:51:40,309.96667,95.99792
402,2022-10-01T03:01:23,309.54376,87.464584
407,2022-10-01T01:53:16,308.6354,108.06875
406,2022-10-01T02:02:10,318.025,95.36042
404,2022-10-01T03:09:45,33.00625,31.883333
400,2022-10-01T02:11:40,270.94583,75.3875
407,2022-10-01T02:03:46,324.87082,107.67083
402,2022-10-01T03:11:53,302.22916,88.66458
405,2022-10-01T02:16:03,150.89375,85.42292
406,2022-10-01T02:12:40,322.9271,95.44375
404,2022-10-01T03:20:15,33.44375,31.18125
400,2022-10-01T02:22:10,275.025,75.37292
407,2022-10-01T02:14:16,322.5625,108.36042
402,2022-10-01T03:22:23,292.14374,88.98333
405,2022-10-01T02:26:33,137.02916,84.28958
406,2022-10-01T02:23:10,334.30417,94.558334
404,2022-10-01T03:30:45,31.483334,31.179167
400,2022-10-01T02:32:40,277.17917,75.57917
407,2022-10-01T02:24:46,339.87292,107.3875
402,2022-10-01T03:32:53,316.91458,88.65833
405,2022-10-01T02:37:03,138.62083,84.035416
406,2022-10-01T02:33:40,341.6625,93.93958
404,2022-10-01T03:41:15,28.577084,29.89375
400,2022-10-01T02:43:10,276.27707,75.3625
407,2022-10-01T02:35:16,342.2396,107.00625
402,2022-10-01T03:43:23,328.00626,87.989586
405,2022-10-01T02:47:33,141.42291,83.364586
406,2022-10-01T02:44:10,335.0125,93.975
404,2022-10-01T03:51:45,29.597918,30.808332
400,2022-10-01T02:53:40,275.28125,74.614586
407,2022-10-01T02:45:46,335.8021,106.69583
402,2022-10-01T03:53:53,317.6729,87.989586
405,2022-10-01T02:58:03,144.87917,84.09375
406,2022-10-01T02:54:40,333.0375,93.92292
404,2022-10-01T04:02:15,29.591667,29.895834
400,2022-10-01T03:04:10,274.9125,74.6625
407,2022-10-01T02:56:16,334.3271,106.98333
402,2022-10-01T04:04:23,316.56458,87.99792
405,2022-10-01T03:08:33,150.875,84.82708
406,2022-10-01T03:05:10,325.23126,94.65833
404,2022-10-01T04:12:45,28.908333,29.929167
400,2022-10-01T03:14:40,282.04166,75.347916
407,2022-10-01T03:06:46,326.3604,107.36042
402,2022-10-01T04:14:53,311.46042,88.6875
405,2022-10-01T03:19:03,140.7,85.36667
406,2022-10-01T03:15:40,306.27917,95.36875
404,2022-10-01T04:23:15,29.93125,29.866667
400,2022-10-01T03:25:10,283.6625,74.635414
407,2022-10-01T03:17:16,309.275,107.63333
402,2022-10-01T04:25:23,293.725,88.76458
405,2022-10-01T03:29:33,143.41042,85.5
406,2022-10-01T03:26:10,307.16666,96.010414
404,2022-10-01T04:33:45,29.035418,30.472918
400,2022-10-01T03:35:40,281.37082,74.614586
407,2022-10-01T03:27:46,311.47916,108.183334
402,2022-10-01T04:35:53,312.20624,88.7125
405,2022-10-01T03:40:03,145.20209,84.51667
406,2022-10-01T03:36:40,332.10626,94.645836
404,2022-10-01T04:44:15,34.33125,30.602083
400,2022-10-01T03:46:10,278.63333,74.097916
407,2022-10-01T03:38:16,331.70834,107.30417
402,2022-10-01T04:46:23,318.47708,88.010414
405,2022-10-01T03:50:33,134.46666,84.14792
406,2022-10-01T03:47:10,337.78543,93.93125
404,2022-10-01T04:54:45,27.864584,29.210417
400,2022-10-01T03:56:40,273.76874,74.635414
407,2022-10-01T03:48:46,337.89584,106.91875
402,2022-10-01T04:56:53,0,88.67083
405,2022-10-01T04:01:03,138.59375,84.34583
401,2022-10-01T02:30:17,324.08542,77.23542
403,2022-10-01T02:39:31,58.275,55.272915
